Brownsville,USA,Texas,132091,NULL,NULL
Bruegge,B,"West Flanders",117799,2.08,51.1
Bruges,B,"West Flanders",116273,NULL,NULL
Brugge,B,"West Flanders",NULL,NULL,NULL
Brussels,B,Brabant,951580,4.35,50.8
Bryansk,R,"Bryanskaya oblast",462000,NULL,NULL
Bucaramanga,CO,"Santander del Sur",351737,NULL,NULL
Bucharest,RO,Bucuresti,2037000,26.1,44.4167
Budapest,H,"Budapest (munic.)",2016000,19.0333,47.5167
Buea,CAM,Sudoueste,NULL,NULL,NULL
Buenaventura,CO,"Valle de Cauca",266988,NULL,NULL
"Buenos Aires",RA,"Distrito Federal",2988006,-58.4833,-34.5833
Buffalo,USA,"New York",310548,-78.7333,42.9333
Bujumbura,BI,Burundi,NULL,29,-4
Bukavu,ZRE,Kivu,201569,NULL,NULL
Bukhoro,UZB,Bukhoro,236000,NULL,NULL
Bukoba,EAT,Kagera,NULL,NULL,NULL
"Bur Said",ET,"Bur Said (munic.)",NULL,NULL,NULL
Burdur,TR,Burdur,NULL,NULL,NULL
Burgos,E,"Castile and Leon",166251,NULL,NULL
Burlington,CDN,Ontario,129575,NULL,NULL
Burnaby,CDN,"British Columbia",158858,NULL,NULL
Bursa,TR,Bursa,996600,NULL,NULL
Bury,GB,"Greater Manchester",181400,NULL,NULL
Bushehr,IR,Bushehr,NULL,NULL,NULL
Butembo,ZRE,Kivu,109406,NULL,NULL
Buzau,RO,Buzau,145000,NULL,NULL
Bydgoszcz,PL,Bydgoskie,380000,NULL,NULL
Bytom,PL,Katowickie,230000,NULL,NULL
Cabimas,YV,Zulia,165755,NULL,NULL
Cabinda,ANG,Cabinda,NULL,NULL,NULL
"Cabo Frio",BR,"Rio de Janeiro",101142,NULL,NULL
"Cachoeiro de Itapemirim",BR,"Espirito Santo",147283,NULL,NULL
Cadiz,E,Andalusia,155438,-6.2,36.3
Caen,F,"Basse Normandie",112846,-0.2,49.3
Caernarfon,GB,Gwynedd,NULL,NULL,NULL
"Cagayan de Oro",RP,Philippines,428000,NULL,NULL
Cagliari,I,Sardegna,211719,9.5,39.15
Cairo,ET,"El Qahira (munic.)",6053000,31.3333,29.8667
Cajamarca,PE,Cajamarca,92447,NULL,NULL
Calabar,WAN,Nigeria,154000,NULL,NULL
Calarasi,RO,Calarasi,NULL,NULL,NULL
Calcutta,IND,"West Bengal",4399819,88.3333,22.5333
Calgary,CDN,Alberta,710677,-114.017,51.1
Cali,CO,"Valle de Cauca",1718871,-76.5,3.41667
Callao,PE,Callao,NULL,NULL,NULL
"Cam Pha",VN,Vietnam,127408,NULL,NULL
Camacari,BR,Bahia,134768,NULL,NULL
Camaguey,C,Camaguey,293961,NULL,NULL
Camaragibe,BR,Pernambuco,111190,NULL,NULL
Cambridge,GB,Cambridgeshire,113800,NULL,NULL
Campeche,MEX,Campeche,150518,-90.3,19.5
"Campina Grande",BR,Paraiba,340412,NULL,NULL
Campinas,BR,"Sao Paulo",907996,NULL,NULL
"Campo Grande",BR,"Mato Grosso do Sul",598216,NULL,NULL
Campobasso,I,Molise,NULL,14.5,41.5
"Can Tho",VN,Vietnam,284306,NULL,NULL
Canakkale,TR,Canakkale,NULL,NULL,NULL
Canberra,AUS,"Australia Capital Territory",310000,149.08,-35.1
Cancun,MEX,"Quintana Roo",167730,NULL,NULL
Cangzhou,TJ,Hubei,242708,NULL,NULL
Cankiri,TR,Cankiri,NULL,NULL,NULL
Canoas,BR,"Rio Grande do Sul",284114,NULL,NULL
Canterbury,GB,Kent,132400,NULL,NULL
"Cape Coast",GH,Ghana,57224,NULL,NULL
"Cape Town",RSA,"South Africa",855000,18.4833,-33.9333
Caracas,YV,"Distrito Federal",1822465,-66.9333,10.5
Carapicuiba,BR,"Sao Paulo",328015,NULL,NULL
Cardiff,GB,Cardiff,300000,-3.16667,51.4667
Cariacica,BR,"Espirito Santo",300085,NULL,NULL
Carletonville,RSA,"South Africa",119000,NULL,NULL
Carlisle,GB,Cumbria,102900,NULL,NULL
Carmarthen,GB,Carmarthenshire,NULL,NULL,NULL
"Carson City",USA,Nevada,32022,-119.767,39.1667
Cartagena,CO,Bolivar,745689,NULL,NULL
Cartagena,E,Murcia,179659,NULL,NULL
Cartago,CO,"Valle de Cauca",117166,NULL,NULL
Cartago,CR,Cartago,109000,NULL,NULL
